Employee_ID,Employee_Name,Department,Location
E001,Employee 1,Marketing,Kano
E002,Employee 2,Sales,Kano
E003,Employee 3,Marketing,Enugu
E004,Employee 4,Marketing,Kano
E005,Employee 5,Sales,Port Harcourt
E006,Employee 6,Customer Support,Port Harcourt
E007,Employee 7,Marketing,Kano
E008,Employee 8,Customer Support,Enugu
E009,Employee 9,Customer Support,Lagos
E010,Employee 10,Customer Support,Kano
E011,Employee 11,Customer Support,Ibadan
E012,Employee 12,Marketing,Abuja
E013,Employee 13,Sales,Enugu
E014,Employee 14,Customer Support,Ibadan
E015,Employee 15,Marketing,Kano
E016,Employee 16,Marketing,Ibadan
E017,Employee 17,Sales,Lagos
E018,Employee 18,Sales,Port Harcourt
E019,Employee 19,Sales,Port Harcourt
E020,Employee 20,Customer Support,Enugu
E021,Employee 21,Customer Support,Enugu
E022,Employee 22,Customer Support,Kano
E023,Employee 23,Marketing,Ibadan
E024,Employee 24,Customer Support,Ibadan
E025,Employee 25,Customer Support,Enugu
E026,Employee 26,Marketing,Kano
E027,Employee 27,Customer Support,Ibadan
E028,Employee 28,Sales,Abuja
E029,Employee 29,Sales,Abuja
E030,Employee 30,Marketing,Abuja
E031,Employee 31,Marketing,Port Harcourt
E032,Employee 32,Marketing,Enugu
E033,Employee 33,Marketing,Lagos
E034,Employee 34,Sales,Abuja
E035,Employee 35,Customer Support,Lagos
E036,Employee 36,Sales,Lagos
E037,Employee 37,Customer Support,Kano
E038,Employee 38,Sales,Lagos
E039,Employee 39,Customer Support,Kano
E040,Employee 40,Sales,Lagos
E041,Employee 41,Customer Support,Kano
E042,Employee 42,Sales,Lagos
E043,Employee 43,Marketing,Ibadan
E044,Employee 44,Customer Support,Abuja
E045,Employee 45,Sales,Enugu
E046,Employee 46,Customer Support,Ibadan
E047,Employee 47,Marketing,Abuja
E048,Employee 48,Sales,Kano
E049,Employee 49,Sales,Lagos
E050,Employee 50,Sales,Enugu
E051,Employee 51,Customer Support,Port Harcourt
E052,Employee 52,Customer Support,Ibadan
E053,Employee 53,Marketing,Port Harcourt
E054,Employee 54,Marketing,Ibadan
E055,Employee 55,Sales,Enugu
E056,Employee 56,Marketing,Abuja
E057,Employee 57,Marketing,Kano
E058,Employee 58,Customer Support,Enugu
E059,Employee 59,Marketing,Enugu
E060,Employee 60,Marketing,Ibadan
