Order_ID,Product_ID,Customer_ID,Employee_ID,Date,Quantity,Unit_Price,Discount
O000001,P0062,C01106,E015,2024-04-04,1,60915,0.08
O000002,P0053,C00533,E010,2022-11-07,1,3012,0.13
O000003,P0098,C00280,E023,2022-10-21,4,73136,0.0
O000004,P0119,C01008,E049,2023-05-04,3,4197,0.19
O000005,P0103,C00600,E039,2022-08-25,1,74855,0.09
O000006,P0053,C01149,E028,2023-02-09,2,24400,0.18
O000007,P0083,C00799,E054,2023-01-23,2,37469,0.02
O000008,P0081,C00491,E034,2024-02-22,5,108850,0.17
O000009,P0035,C00584,E042,2024-01-31,5,109012,0.07
O000010,P0025,C00141,E012,2022-05-20,3,17464,0.16
O000011,P0080,C00928,E018,2023-12-19,5,67486,0.05
O000012,P0003,C00312,E004,2024-09-19,5,5900,0.05
O000013,P0014,C00578,E018,2022-05-09,4,98303,0.0
O000014,P0012,C00309,E001,2023-05-21,2,47815,0.11
O000015,P0101,C01021,E024,2023-04-20,1,46286,0.02
O000016,P0097,C00300,E004,2022-09-30,4,12356,0.14
O000017,P0024,C00394,E058,2024-05-11,3,110118,0.1
O000018,P0002,C00250,E050,2024-01-02,2,53436,0.19
O000019,P0057,C00507,E048,2022-02-04,2,63402,0.18
O000020,P0013,C01068,E043,2022-08-02,4,54003,0.17
O000021,P0040,C00662,E011,2023-10-07,1,100612,0.23
O000022,P0067,C00251,E017,2023-05-08,3,29047,0.09
O000023,P0007,C01366,E014,2024-09-23,1,33928,0.16
O000024,P0042,C00031,E011,2024-03-24,3,79637,0.03
O000025,P0102,C00498,E001,2024-09-19,1,79162,0.2
O000026,P0061,C01410,E039,2022-06-08,3,104029,0.02
O000027,P0021,C01024,E006,2023-12-04,5,47357,0.23
O000028,P0098,C01281,E004,2022-03-03,3,87485,0.04
O000029,P0069,C00220,E009,2023-05-15,2,44515,0.25
O000030,P0101,C01321,E049,2022-12-22,4,99100,0.05
O000031,P0089,C00774,E023,2024-01-12,2,35859,0.22
O000032,P0063,C01448,E029,2023-07-27,3,74137,0.17
O000033,P0025,C01161,E012,2023-07-11,3,45425,0.18
O000034,P0036,C01227,E059,2024-05-31,5,24016,0.02
O000035,P0020,C00921,E019,2024-04-19,3,73989,0.09
O000036,P0001,C01307,E033,2023-01-24,2,118727,0.0
O000037,P0110,C00746,E050,2023-09-28,2,45034,0.18
O000038,P0085,C01104,E053,2023-02-01,2,71690,0.17
O000039,P0099,C01130,E010,2023-09-20,3,45283,0.1
O000040,P0042,C00227,E007,2023-06-20,1,8737,0.21
O000041,P0017,C00366,E056,2022-02-02,2,17031,0.12
O000042,P0013,C00066,E037,2023-10-20,4,89235,0.12
O000043,P0080,C01437,E038,2022-09-20,1,51018,0.06
O000044,P0092,C00146,E001,2024-08-10,2,88950,0.12
O000045,P0114,C00164,E030,2024-03-31,1,50307,0.14
O000046,P0114,C00852,E053,2023-01-13,1,110956,0.15
O000047,P0068,C00084,E047,2022-03-14,3,13215,0.24
O000048,P0067,C00199,E007,2024-01-13,2,72685,0.1
O000049,P0025,C01078,E043,2022-09-12,5,84962,0.24
O000050,P0072,C01144,E027,2024-02-04,1,103438,0.16
O000051,P0046,C01382,E030,2023-12-21,4,118713,0.03
O000052,P0102,C00370,E036,2023-02-16,5,47238,0.16
O000053,P0069,C01229,E029,2024-08-13,3,44307,0.14
O000054,P0042,C00762,E027,2024-02-22,4,111285,0.18
O000055,P0078,C00493,E037,2023-07-13,2,52160,0.19
O000056,P0119,C00521,E024,2024-09-11,4,61654,0.24
O000057,P0001,C01488,E003,2022-10-19,5,5136,0.13
O000058,P0114,C00619,E001,2022-11-04,2,31157,0.21
O000059,P0003,C01413,E053,2022-10-10,5,70013,0.14
O000060,P0119,C01171,E010,2022-04-07,1,63341,0.09
O000061,P0018,C00543,E024,2024-06-29,5,35749,0.06
O000062,P0104,C00616,E006,2023-08-08,4,77588,0.23
O000063,P0094,C00159,E047,2022-11-29,4,25662,0.12
O000064,P0116,C01413,E045,2023-08-14,1,81018,0.16
O000065,P0005,C01497,E052,2023-08-14,4,13286,0.2
O000066,P0118,C00685,E023,2024-06-19,4,57594,0.23
O000067,P0016,C00465,E048,2023-10-31,5,4498,0.16
O000068,P0081,C00784,E004,2022-11-09,5,8397,0.08
O000069,P0073,C00307,E021,2023-05-30,2,23079,0.01
O000070,P0094,C00805,E029,2024-02-10,5,78399,0.13
O000071,P0029,C00885,E019,2024-03-16,4,22400,0.03
O000072,P0011,C00975,E037,2024-02-03,1,74847,0.1
O000073,P0011,C00817,E033,2023-03-21,2,102881,0.03
O000074,P0072,C00406,E032,2023-02-09,5,28703,0.14
O000075,P0095,C01074,E016,2022-09-06,1,37898,0.19
O000076,P0042,C01403,E060,2023-08-13,1,17749,0.17
O000077,P0055,C00749,E023,2022-07-15,3,48157,0.15
O000078,P0004,C00625,E011,2022-12-25,5,110686,0.25
O000079,P0057,C01277,E010,2023-03-28,1,110239,0.06
O000080,P0088,C00766,E010,2024-02-15,1,17728,0.18
O000081,P0032,C01272,E060,2022-06-01,3,4800,0.09
O000082,P0103,C00228,E020,2023-04-06,4,5981,0.08
O000083,P0095,C01102,E014,2022-07-28,5,71585,0.19
O000084,P0071,C00990,E040,2024-01-18,2,94104,0.17
O000085,P0003,C00772,E038,2024-07-16,5,8699,0.06
O000086,P0008,C00582,E013,2024-03-19,5,38557,0.01
O000087,P0084,C00018,E005,2023-02-02,3,89898,0.21
O000088,P0085,C00738,E056,2022-04-21,1,41337,0.22
O000089,P0084,C00792,E015,2023-01-25,5,96020,0.02
O000090,P0041,C00993,E056,2023-09-04,5,14537,0.05
O000091,P0065,C00938,E036,2024-08-06,1,8210,0.06
O000092,P0068,C00625,E022,2023-05-17,4,100568,0.04
O000093,P0045,C01402,E023,2022-12-30,3,33959,0.25
O000094,P0065,C00565,E052,2022-03-05,3,118169,0.1
O000095,P0105,C00061,E036,2024-08-29,3,32567,0.04
O000096,P0115,C00805,E043,2022-05-21,1,98668,0.1
O000097,P0087,C01255,E056,2023-10-03,2,57700,0.06
O000098,P0020,C00874,E020,2024-07-20,5,46160,0.11
